datetime_local,bpm
2024-12-13 22:19:24,73
2024-12-13 22:19:29,72
2024-12-13 22:19:34,71
2024-12-13 22:19:39,71
2024-12-13 22:19:44,71
2024-12-13 22:19:46,71
2024-12-13 22:19:52,71
2024-12-13 22:19:55,71
2024-12-13 22:20:01,71
2024-12-13 22:20:07,70
2024-12-13 22:20:10,71
2024-12-13 22:20:18,74
2024-12-13 22:20:23,72
2024-12-13 22:20:25,72
2024-12-13 22:20:31,69
2024-12-13 22:20:38,68
2024-12-13 22:20:41,68
2024-12-13 22:20:45,69
2024-12-13 22:20:52,74
2024-12-13 22:20:55,74
2024-12-13 22:21:03,67
2024-12-13 22:21:06,66
2024-12-13 22:21:32,67
2024-12-13 22:23:01,65
2024-12-13 22:23:06,62
2024-12-13 22:23:11,60
2024-12-13 22:23:16,60
2024-12-13 22:23:21,60
2024-12-13 22:25:28,67
2024-12-13 22:31:23,68
2024-12-13 22:39:13,63
2024-12-13 22:42:22,66
2024-12-13 22:49:25,66
2024-12-13 22:51:22,62
2024-12-13 22:54:28,61
2024-12-13 22:57:02,61
2024-12-13 23:00:25,63
2024-12-13 23:05:31,63
2024-12-13 23:11:31,63
2024-12-13 23:14:28,60
2024-12-13 23:22:15,59
2024-12-13 23:25:34,58
2024-12-13 23:29:43,61
2024-12-13 23:36:31,90
2024-12-13 23:42:51,93
2024-12-13 23:44:50,92
2024-12-13 23:53:44,99
2024-12-13 23:57:46,89
2024-12-14 00:00:12,94
